CustomerID,Age,Gender,Income,Education,Marital_Status,Total_Spending,Campaign_Acceptance,Last_Purchase_Date,Region,Occupation,Number_of_Children,Household_Size,Customer_Lifetime_Value,Engagement_Score,Preferred_Communication_Channel,Purchase_History,Loyalty_Program_Status,Social_Media_Activity,Feedback_Score
34,45,Male,55025,Bachelor,Single,1844,1,2023-02-04,North,Engineer,3,5,9425,5,Phone,Speak worker be third. Industry must reality.,Bronze,34,8
35,33,Female,42623,Bachelor,Married,2358,0,2025-01-02,West,Lawyer,1,2,4585,91,SMS,Soldier time blue happen more player.,Silver,47,9
36,32,Female,42716,High School,Married,2164,1,2024-11-30,South,Lawyer,0,2,11334,47,Phone,Rate like particular fish. Job loss forget.,Platinum,36,7
37,64,Male,51860,High School,Divorced,2476,1,2023-11-05,South,Lawyer,1,2,8207,5,Email,City teacher identify eat cost.,Gold,40,7
38,68,Male,40611,PhD,Single,1938,0,2024-12-02,East,Engineer,3,1,7075,5,SMS,Also less listen clearly mean subject.,Gold,5,4
39,61,Male,51436,High School,Divorced,1909,0,2025-01-02,East,Artist,1,2,12034,48,SMS,Human practice agent. Third compare involve.,Gold,82,1
40,69,Male,41100,High School,Widowed,2538,0,2023-10-28,West,Scientist,0,2,10729,73,Email,War hair thank bill. War that should spring.,Platinum,85,7
41,20,Female,41923,High School,Widowed,2316,0,2024-11-26,West,Artist,0,5,12733,47,SMS,Expert who responsibility room available receive.,Platinum,95,8
42,54,Female,64893,PhD,Single,1912,0,2023-08-28,South,Artist,0,5,9646,62,Phone,Course former art stock best meet glass produce.,Bronze,90,9
43,68,Female,66420,High School,Widowed,2183,1,2024-06-12,South,Artist,3,3,10645,27,Phone,Detail building win situation down school.,Silver,79,1
44,24,Male,24370,Master,Single,2092,1,2023-03-09,West,Teacher,0,6,12397,4,SMS,Light also open sort maintain.,Platinum,89,9
45,38,Female,61206,PhD,Married,2233,1,2024-01-19,North,Engineer,2,1,15029,49,Email,Truth health week response quickly common blood.,Gold,38,7
46,26,Male,70978,Master,Widowed,2634,0,2023-04-27,North,Doctor,2,2,9065,88,Phone,Police law trouble never.,Platinum,3,7
47,56,Male,73360,PhD,Married,1825,0,2024-11-15,North,Engineer,0,3,10744,91,Phone,Manager president trial language page by.,Silver,15,3
48,35,Male,57805,Master,Divorced,1677,1,2024-07-17,North,Artist,2,3,11720,65,SMS,National appear stand American mother.,Platinum,51,1
49,21,Male,34139,PhD,Widowed,2136,0,2024-05-11,West,Teacher,0,1,11696,96,Email,Son party quickly hand nothing.,Silver,18,7
50,42,Male,59449,Bachelor,Divorced,1731,1,2024-04-21,East,Teacher,3,6,8460,80,Phone,Six model cut member.,Bronze,91,8
51,31,Female,36961,High School,Divorced,1544,1,2024-03-26,North,Engineer,2,3,9663,87,Email,While interesting image cut would present heavy.,Silver,16,6
52,67,Female,44855,High School,Single,2496,1,2025-01-06,West,Doctor,3,3,11691,92,SMS,Mr large person.,Gold,44,7
53,26,Male,55746,PhD,Divorced,1856,0,2023-11-09,North,Artist,2,1,10528,61,SMS,Relate want face white.,Platinum,1,9
54,43,Female,37928,Master,Single,1065,0,2023-11-05,South,Teacher,4,4,15743,20,Phone,Attack against art stuff lot this.,Platinum,1,8
55,19,Male,32803,Bachelor,Single,2423,1,2024-12-27,North,Artist,4,3,9071,81,Email,Back course shake ok series.,Gold,87,5
56,37,Male,56986,Master,Single,1780,0,2024-02-08,West,Artist,3,5,7600,8,Email,Administration tend bit.,Silver,54,4
57,45,Male,78008,High School,Single,2288,0,2024-08-20,South,Scientist,2,3,11453,82,SMS,Reduce collection campaign set us.,Platinum,90,4
58,64,Female,68648,High School,Single,2541,0,2024-02-22,South,Artist,4,1,7184,13,SMS,Better show live. Cost community inside off unit.,Platinum,3,4
59,24,Male,60607,Master,Married,2094,1,2024-04-20,North,Lawyer,0,1,8624,73,SMS,Kid receive seek story.,Silver,99,2
60,61,Male,64687,PhD,Single,982,1,2023-03-12,North,Scientist,1,6,10242,37,SMS,Resource dinner teacher whether tonight town.,Silver,83,7
61,25,Female,59565,PhD,Widowed,1018,1,2023-09-03,South,Artist,4,4,9901,94,SMS,Member candidate instead firm step market.,Silver,11,8
62,64,Female,56748,Master,Single,1663,1,2025-01-13,East,Artist,4,4,9818,43,Phone,Throughout region situation often.,Platinum,53,7
63,52,Female,63479,High School,Married,1971,1,2024-11-27,West,Doctor,0,6,8309,92,Phone,Score allow direction medical my.,Gold,91,8
64,31,Male,29474,Master,Widowed,2600,0,2024-06-09,West,Scientist,4,6,11109,56,Email,Like team suddenly high chair about soldier.,Gold,59,9
65,34,Male,52992,High School,Widowed,2145,1,2024-12-11,West,Scientist,4,5,16517,50,Phone,Myself reveal second property use dinner power.,Bronze,28,8
66,53,Female,48785,Master,Married,3308,0,2024-07-21,West,Doctor,4,5,12488,82,Phone,Improve amount quality morning glass.,Silver,60,5
67,67,Male,51183,PhD,Widowed,1254,1,2024-11-03,West,Lawyer,2,3,4468,20,Phone,Style pattern site soldier couple serious.,Gold,45,4
68,57,Female,43079,Bachelor,Married,2060,0,2024-06-20,South,Scientist,4,4,8778,48,Email,Buy us career fund. Same style large win voice.,Silver,96,5
69,21,Female,57807,High School,Divorced,1777,0,2023-12-24,West,Lawyer,1,5,11595,19,Phone,Mission determine institution some learn.,Platinum,48,1
70,19,Male,37731,Bachelor,Divorced,2117,1,2024-12-07,East,Artist,2,3,5512,69,Email,Her light power fight. Already lawyer boy decade.,Gold,17,5
71,23,Male,41992,PhD,Single,2875,0,2024-06-27,East,Teacher,2,2,2735,98,Email,Light west country certain industry describe.,Platinum,75,6
72,59,Female,40191,Master,Single,2907,0,2024-08-09,North,Teacher,3,3,7825,17,Phone,Nothing morning quite example.,Bronze,73,9
73,21,Female,62959,PhD,Single,2027,0,2024-10-01,North,Engineer,4,5,7573,28,Phone,Interesting cold themselves Republican.,Gold,23,9
74,46,Female,49824,Bachelor,Single,2430,0,2023-09-22,North,Teacher,1,3,14920,36,Phone,Price cultural common find process.,Gold,16,3
75,35,Female,43087,PhD,Married,2107,0,2024-06-22,North,Teacher,1,2,11066,38,SMS,Finally study others challenge receive general.,Bronze,95,8
76,43,Male,44398,PhD,Divorced,1462,0,2023-06-01,South,Doctor,3,5,9566,94,Email,Model listen theory feeling else.,Silver,55,8
77,61,Female,50058,Master,Married,2007,1,2024-05-21,East,Engineer,1,3,9052,82,Email,Sister human company suddenly resource.,Gold,88,9
78,51,Female,74332,Bachelor,Widowed,1747,0,2024-05-17,South,Engineer,2,5,11351,70,SMS,Industry meet live officer.,Bronze,51,1
79,27,Female,31452,Bachelor,Widowed,1968,1,2024-08-17,East,Doctor,0,6,10594,26,SMS,Perform student find work drug.,Platinum,70,5
80,53,Male,60132,Bachelor,Widowed,1573,0,2024-09-14,South,Teacher,2,6,11346,79,Phone,Medical look leg indicate capital watch.,Bronze,19,5
81,31,Male,57077,High School,Widowed,2077,0,2023-09-30,East,Teacher,0,3,10969,1,SMS,My message production at his perhaps throw.,Platinum,28,7
82,48,Female,36755,PhD,Widowed,2152,0,2023-05-14,North,Engineer,1,1,13117,81,SMS,Lose American Mr.,Bronze,82,8
83,65,Male,72003,Bachelor,Divorced,2352,0,2023-07-03,East,Teacher,4,5,10098,95,SMS,Material chance again.,Gold,74,7
84,32,Male,58089,PhD,Married,2154,0,2024-04-09,North,Engineer,0,5,12336,2,Email,Explain environment still.,Silver,96,6
85,25,Male,42384,Master,Widowed,2817,0,2024-10-21,East,Teacher,2,6,11070,36,SMS,Key wrong option relationship start own task.,Gold,49,4
86,31,Female,22108,Master,Single,3096,0,2023-05-10,South,Artist,2,6,10607,56,Phone,Agency mission capital responsibility.,Gold,14,9
87,40,Female,53437,High School,Divorced,1797,0,2023-05-16,West,Doctor,2,5,8801,35,Email,Treatment majority throw their.,Platinum,30,2
88,57,Male,49328,High School,Single,2485,1,2023-02-23,East,Scientist,2,5,9803,27,Email,Natural security society.,Gold,12,6
89,38,Female,34539,Master,Divorced,3057,1,2023-07-30,South,Lawyer,3,6,9856,67,SMS,Bring share every successful rock current.,Bronze,55,6
90,33,Female,34345,Bachelor,Divorced,2498,1,2023-05-31,West,Artist,1,3,13236,56,SMS,With game trip seem individual cup.,Silver,18,4
91,62,Male,63027,Master,Single,2358,1,2024-04-07,South,Teacher,4,4,10706,46,SMS,Stop computer kid yes citizen any.,Gold,69,3
92,35,Male,20664,PhD,Single,1089,0,2024-04-21,West,Lawyer,3,3,7288,20,SMS,Black know happy general later develop.,Silver,27,3
93,64,Female,54714,High School,Widowed,1720,0,2024-10-06,North,Scientist,1,2,5360,8,Phone,Nearly nation yourself low.,Platinum,21,2
94,41,Male,47188,High School,Single,1793,0,2024-03-29,East,Artist,0,1,6586,93,SMS,Trade money third main man method.,Gold,27,3
95,43,Female,57457,Master,Married,2693,1,2024-02-28,South,Scientist,3,3,7933,72,Phone,Property consider trouble hold.,Silver,79,4
96,42,Female,45585,Bachelor,Divorced,1634,1,2024-01-22,East,Doctor,3,3,11382,91,SMS,Eight defense skill special dream set skin.,Bronze,32,4
97,62,Male,54399,Bachelor,Divorced,1957,1,2023-09-30,North,Lawyer,3,5,8142,26,SMS,Hospital agree floor yet answer sell even.,Silver,44,7
98,58,Female,38858,PhD,Widowed,2420,0,2024-08-29,North,Scientist,3,2,13679,74,Phone,Party simple particular health suggest make.,Bronze,47,4
99,46,Female,49261,High School,Divorced,1612,0,2024-06-29,East,Lawyer,0,5,6320,62,SMS,And yard money picture despite.,Bronze,62,9
100,32,Male,57336,Master,Single,2139,1,2023-06-25,South,Doctor,2,6,11988,94,Email,Drop sound current nor democratic paper.,Platinum,25,8
101,62,Male,52263,Master,Divorced,2074,0,2024-06-26,South,Scientist,3,5,4411,33,Phone,Item without street term store whose industry.,Silver,86,1
102,18,Male,55704,High School,Divorced,2438,0,2023-11-18,South,Artist,1,4,6648,61,Phone,General activity idea so memory.,Gold,0,1
103,42,Female,36081,Master,Single,2329,0,2024-11-04,East,Lawyer,2,1,7020,20,Email,Human fast over tree strategy hit language throw.,Gold,61,6
104,24,Male,41139,High School,Single,2313,1,2024-11-26,South,Scientist,0,4,6982,68,Phone,Course old business. Nature fight federal.,Gold,92,4
105,26,Male,41399,Bachelor,Divorced,2100,0,2024-03-11,South,Doctor,4,5,8087,87,SMS,Your player leader future stand soon structure.,Gold,71,6
106,41,Male,45852,Bachelor,Married,1162,1,2023-06-02,West,Scientist,0,1,12360,29,Phone,Evening down than response.,Silver,2,9
107,18,Male,70378,Master,Single,2069,1,2023-12-09,South,Scientist,4,3,12152,46,Phone,Box note treat tax.,Platinum,76,5
108,61,Female,44687,Bachelor,Married,2027,0,2023-06-03,North,Artist,1,2,6979,96,Email,Conference agency lead yet Republican mouth.,Gold,83,8
109,25,Female,32846,Bachelor,Married,2383,0,2024-06-07,South,Teacher,4,4,9411,37,Phone,Want respond finish reveal.,Gold,4,2
110,41,Male,58124,PhD,Widowed,1788,0,2024-04-23,East,Engineer,3,2,11363,90,SMS,Fact seem case security.,Bronze,44,8
111,28,Female,70199,High School,Married,2020,1,2024-10-13,East,Teacher,2,5,9444,53,Phone,Science all particularly.,Silver,11,8
112,68,Male,31081,High School,Widowed,2036,1,2023-06-02,South,Teacher,2,1,14731,5,Phone,Seem alone job store realize join.,Bronze,47,2
113,34,Male,79592,Master,Married,1643,0,2024-04-20,East,Engineer,3,6,11146,88,Email,Eat clearly each yes.,Bronze,80,7
114,25,Female,56227,High School,Widowed,1423,0,2024-11-16,East,Scientist,2,3,7410,66,Email,Result final identify stand enter.,Platinum,13,8
115,52,Female,65508,PhD,Single,2191,1,2024-08-02,South,Teacher,0,1,7708,15,Phone,Couple actually industry drug.,Gold,52,7
116,52,Male,72006,Master,Divorced,2503,1,2025-01-24,West,Teacher,3,6,7099,46,SMS,Role beautiful enter yard herself region case.,Gold,89,6
117,50,Male,64589,Master,Divorced,1687,1,2023-11-08,West,Doctor,3,2,7902,57,Email,Fund option prevent city there month top.,Silver,93,3
118,22,Female,48341,High School,Widowed,1891,1,2023-07-15,West,Doctor,2,2,10064,8,Email,Activity beautiful you seven.,Bronze,44,3
119,59,Male,68265,Bachelor,Single,2414,1,2024-11-01,West,Artist,4,3,9293,37,SMS,Letter force enter just owner civil in.,Gold,31,8
120,56,Female,53818,Bachelor,Widowed,2463,0,2023-06-13,North,Lawyer,1,6,8591,57,Email,Civil compare item last his half.,Platinum,29,4
121,58,Male,66357,Bachelor,Widowed,2115,1,2024-08-09,South,Scientist,4,6,11745,14,Phone,Mean similar ground week economy.,Bronze,11,8
122,45,Male,67998,Bachelor,Single,2207,1,2024-07-09,East,Artist,0,3,11028,5,Email,Upon address three whether event term team.,Platinum,99,6
123,24,Female,33636,PhD,Married,2266,0,2023-08-08,East,Doctor,3,1,5261,73,SMS,Family low skill high source involve.,Platinum,82,3
124,26,Female,61914,Master,Married,2355,1,2023-07-16,South,Doctor,3,4,6177,86,Phone,Late serve state large always.,Platinum,43,2
125,25,Female,47271,Bachelor,Single,1464,1,2023-03-14,East,Engineer,0,1,7046,43,SMS,Baby nature place friend know.,Gold,24,1
126,29,Female,52072,PhD,Widowed,2958,0,2023-07-23,North,Engineer,1,2,7576,49,SMS,Hear article lose allow until.,Platinum,96,4
127,51,Female,51906,Master,Divorced,2137,1,2023-12-06,West,Doctor,3,1,8082,44,SMS,Seem option theory red.,Platinum,41,8
128,50,Female,51304,High School,Widowed,2364,0,2024-07-26,South,Teacher,4,5,8789,56,SMS,Director onto until fine. Result during listen.,Gold,20,4
129,65,Female,72852,High School,Married,1619,1,2024-04-06,East,Artist,0,1,11069,48,Email,Discuss week wall field.,Gold,60,8
130,40,Male,29503,PhD,Single,1907,1,2023-12-19,North,Doctor,3,1,6628,30,Email,Accept middle make interest.,Gold,65,8
131,41,Male,24164,Master,Single,2188,0,2024-07-30,East,Scientist,4,6,7706,33,Email,Citizen property within fund gun set kid.,Silver,20,1
132,54,Male,21000,Bachelor,Single,1097,1,2024-03-29,North,Doctor,0,5,5248,37,Email,Art agent energy society. Ago medical fear argue.,Bronze,25,6
133,52,Female,66037,Master,Married,1549,1,2024-03-30,East,Engineer,0,2,7236,50,Phone,Radio a change.,Bronze,31,8
134,61,Female,38398,Bachelor,Widowed,1637,0,2025-01-25,West,Artist,0,3,9376,7,Email,You federal ten forward clear.,Silver,90,8
135,57,Female,51982,PhD,Single,1360,1,2024-03-15,South,Artist,1,1,7308,67,SMS,Group authority make.,Silver,16,1
136,39,Male,48279,Bachelor,Divorced,2053,1,2024-06-21,West,Lawyer,0,4,6904,43,Phone,Around leg listen though woman.,Silver,3,8
137,44,Female,36704,PhD,Single,1962,1,2024-06-11,West,Doctor,2,6,8462,40,Email,Range house family side a.,Gold,38,9
138,52,Female,62772,Master,Widowed,2711,1,2024-10-17,East,Lawyer,2,6,10708,32,Email,Trip upon center door. Two miss main born arm.,Platinum,14,6
139,18,Male,48088,Master,Married,1439,1,2024-08-26,West,Engineer,0,3,7245,55,Phone,Local there clear either security.,Gold,32,7
140,52,Female,46433,Bachelor,Divorced,2117,0,2023-11-11,South,Lawyer,3,4,13065,83,Email,Personal play final artist national provide.,Platinum,60,6
141,54,Male,53493,Master,Divorced,1559,1,2023-10-13,North,Teacher,2,1,7460,95,SMS,Cup behavior idea accept.,Bronze,13,5
142,64,Male,60811,Bachelor,Single,1141,1,2023-09-02,North,Doctor,4,4,8750,94,SMS,Lot low dream staff player white.,Platinum,89,1
143,31,Female,35615,Master,Widowed,2293,0,2024-09-04,East,Doctor,4,6,13473,89,SMS,Officer impact blue later. Base it half.,Silver,46,2
144,20,Female,63093,High School,Single,2335,0,2024-05-18,South,Artist,3,3,11723,77,SMS,Sing focus onto admit dark cover near.,Bronze,1,2
145,18,Female,71747,Bachelor,Divorced,2276,0,2023-11-17,South,Lawyer,4,4,9583,76,Email,Already trade baby.,Platinum,83,9
146,22,Male,28608,PhD,Single,1341,0,2024-10-26,North,Artist,3,4,11114,9,SMS,Cover indicate nice community.,Silver,89,6
147,43,Male,54174,High School,Widowed,2041,1,2024-06-07,North,Scientist,4,3,6198,9,Email,Realize Democrat trip continue defense.,Platinum,65,3
148,31,Male,45426,PhD,Married,2298,1,2023-10-22,West,Lawyer,0,3,15419,64,Email,Task science hospital effect no force.,Platinum,47,3
149,56,Female,60488,Master,Divorced,2476,1,2024-04-20,East,Lawyer,4,3,6355,45,Email,Occur statement appear form.,Platinum,63,2
150,44,Female,31750,High School,Widowed,2314,1,2023-07-11,North,Engineer,0,6,10625,91,Email,Issue board none treat job.,Bronze,65,7
151,26,Female,74434,Master,Single,2482,1,2024-11-16,North,Lawyer,4,3,13369,61,Phone,Keep century street large.,Platinum,47,1
152,32,Female,25881,Bachelor,Divorced,2533,1,2024-11-03,South,Artist,4,5,10789,95,Phone,Term treat them purpose sure.,Silver,80,1
153,32,Male,46335,PhD,Single,2052,1,2023-12-10,South,Scientist,4,1,9845,70,Phone,Chair three through great season coach young.,Platinum,17,3
154,43,Male,56514,Master,Single,2249,0,2023-04-02,South,Lawyer,0,6,13376,93,SMS,Indicate everyone option send.,Silver,50,1
155,59,Male,39704,PhD,Married,2499,1,2024-03-29,North,Lawyer,4,3,11861,94,Email,Across community its thought white.,Gold,3,3
156,30,Male,37348,PhD,Single,2195,0,2024-09-19,East,Doctor,4,2,8539,38,Email,Seem at fine present pick employee design.,Bronze,80,9
157,68,Female,53333,Master,Single,2599,0,2023-05-01,West,Doctor,1,4,14627,75,SMS,Gas only them without blue citizen.,Gold,32,7
158,49,Female,51166,Bachelor,Widowed,2437,0,2023-11-08,East,Scientist,0,3,7766,46,Phone,Stock government federal time worker use.,Gold,22,9
159,56,Female,50089,PhD,Single,1683,1,2024-06-25,North,Doctor,2,3,14876,70,Email,Car green international prepare man.,Bronze,52,7
160,66,Male,62880,Master,Married,1347,1,2024-03-02,West,Teacher,3,1,11779,64,SMS,Only power apply past.,Gold,12,9
161,69,Male,44082,Bachelor,Single,2009,0,2024-05-26,East,Doctor,1,3,8819,95,Phone,Maybe house sign reflect beat power.,Silver,70,3
162,49,Female,54793,Master,Single,1409,1,2024-04-09,North,Teacher,4,6,6936,35,SMS,Try onto mission camera she deal join.,Silver,57,7
163,21,Female,42400,Bachelor,Single,2041,1,2023-11-25,East,Scientist,2,5,10479,12,SMS,History everything radio trouble them.,Silver,62,6
164,47,Male,37260,PhD,Divorced,1996,0,2023-03-08,North,Teacher,2,2,8147,48,Email,You feeling beautiful military.,Silver,64,2
165,54,Female,45728,High School,Married,2650,0,2024-03-17,South,Scientist,4,2,10323,63,Phone,Floor image its door yet.,Gold,41,6
166,40,Male,42518,Master,Divorced,2252,1,2023-12-04,East,Artist,4,3,12290,45,Phone,Majority up customer if social south.,Bronze,94,3
167,56,Male,43267,PhD,Married,2488,0,2024-04-02,South,Doctor,1,1,12651,6,Email,Large their kid continue manager adult.,Gold,99,2
168,62,Male,67479,Master,Married,1755,0,2024-07-08,South,Lawyer,0,6,14166,45,Phone,Level behavior election.,Bronze,88,5
169,32,Female,46188,Master,Widowed,2764,0,2023-09-29,West,Engineer,1,6,6924,90,SMS,Politics north power. Each case open clearly.,Bronze,39,5
170,60,Female,40056,Bachelor,Divorced,2446,1,2024-03-29,West,Lawyer,0,3,10724,32,SMS,He watch speech four animal resource.,Gold,93,2
171,46,Male,50421,Master,Married,2213,1,2024-07-26,East,Doctor,2,4,5757,68,SMS,Whom themselves perhaps hard.,Gold,20,3
172,53,Female,51563,Bachelor,Married,1096,0,2023-11-02,North,Lawyer,3,6,10011,3,Email,Data story bed example little rate away behind.,Silver,82,8
173,30,Male,32196,PhD,Widowed,2589,0,2024-12-21,West,Doctor,4,6,5338,2,Phone,Ago whole your manager trip per.,Bronze,79,5
174,49,Male,45523,Master,Divorced,2886,1,2023-08-01,West,Doctor,1,6,16355,20,Email,Just watch agency none do prove final.,Bronze,32,8
175,24,Male,44919,PhD,Single,2005,1,2024-02-18,South,Lawyer,2,2,13884,83,Email,Leg likely daughter article recently want.,Platinum,69,4
176,68,Male,47417,High School,Widowed,2015,1,2024-01-22,South,Teacher,1,6,5374,39,Email,Sell son certain glass.,Bronze,41,4
177,39,Female,60882,PhD,Married,1741,1,2024-11-03,North,Artist,0,4,8116,12,Email,Wish life pull material debate which.,Silver,36,6
178,45,Male,52050,Master,Divorced,1184,1,2024-02-08,West,Artist,4,5,12169,61,Phone,Figure common arrive defense city clear.,Bronze,71,5
179,19,Male,68419,High School,Married,1718,1,2023-10-12,West,Artist,0,2,10702,36,SMS,Start activity positive could.,Platinum,0,5
180,59,Female,49825,Bachelor,Widowed,2829,0,2024-09-24,North,Artist,0,2,10057,92,SMS,Off decade others pattern security foreign.,Platinum,76,9
181,62,Male,76641,High School,Widowed,2539,0,2024-06-16,West,Engineer,0,5,10754,9,SMS,Would amount any newspaper meeting class best.,Bronze,25,6
182,23,Male,43088,Master,Divorced,1613,0,2024-01-18,East,Scientist,2,4,12559,44,Phone,When past create be only.,Silver,79,3
183,45,Female,38456,Master,Widowed,1710,1,2024-06-23,East,Doctor,4,3,16029,75,Phone,Because else window various no.,Platinum,38,4
184,45,Female,58209,PhD,Widowed,3067,0,2024-01-29,North,Engineer,3,1,6601,53,Phone,Point professor never dream section page gas.,Platinum,46,9
185,61,Female,70461,Bachelor,Single,1489,0,2023-05-19,South,Artist,1,4,9385,30,SMS,Mean remain officer involve race.,Platinum,55,6
186,61,Male,29317,Master,Married,1642,0,2024-05-23,North,Artist,0,5,4603,66,Phone,Team enter relationship visit.,Gold,57,8
187,37,Female,47045,Master,Single,1785,0,2023-11-17,East,Lawyer,4,6,9845,38,SMS,Science protect second box war box subject.,Silver,27,7
188,47,Female,40838,Bachelor,Single,1320,0,2023-11-23,West,Artist,1,6,14924,38,SMS,Put hope themselves brother move thing would.,Silver,56,1
189,28,Male,52142,Bachelor,Divorced,1731,0,2024-03-17,West,Doctor,4,5,11420,33,Email,Forward hospital speak key budget keep human.,Gold,86,1
190,45,Male,50150,PhD,Widowed,1738,0,2024-09-09,South,Artist,1,6,12315,71,Phone,Too air blood read glass.,Bronze,70,7
191,42,Male,70180,High School,Married,1548,1,2023-10-15,South,Artist,4,5,10544,85,Email,Part discover move option long open ability.,Platinum,87,2
192,56,Male,48373,Bachelor,Married,2663,0,2023-05-25,East,Engineer,3,2,7845,55,Phone,Artist data point wife suffer.,Platinum,71,9
193,50,Male,70621,Master,Married,1416,0,2024-11-22,South,Doctor,4,3,5395,76,Phone,Exactly foot personal their skill.,Gold,44,9
194,18,Female,45273,Bachelor,Widowed,1929,1,2024-06-09,North,Teacher,4,2,14353,85,Email,Raise community hot manager let series.,Bronze,64,2
195,44,Female,63897,Master,Married,1561,0,2024-12-12,East,Lawyer,0,2,8657,23,Phone,Meet red chair accept.,Silver,3,9
